"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Properties", "Markdown", "YAML", "TypeScript JSX", "Gradle", "Java Properties", "Batch", "Objective-C", "C++", "Objective-C++", "XML", "Kotlin", "Swift", "comment", "blank", "total"
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/filters/PropertyType.jsx", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/components/properties/BasicProperties.jsx", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 62
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/constants/icons.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/constants/images.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/constants/index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/redux/slices/addProduct/addProductSlice.jsx", "JavaScript", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 138
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/redux/slices/auth/authActions.jsx", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 134
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/redux/slices/auth/authSlice.jsx", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 78
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/redux/slices/bookingSlice.jsx", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/redux/slices/favoriteSlice.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 94
